,antecedents,consequents,antecedent support_before,consequent support_before,support_before,confidence_before,lift_before,leverage_before,conviction_before,antecedent support_dec,consequent support_dec,support_dec,confidence_dec,lift_dec,leverage_dec,conviction_dec
92,"frozenset({'total_children_(3.0, 4.0]'})",frozenset({'product_id_Carrington Ice Cream'}),0.20410432795731595,0.0008507638644125475,0.00023699850508635253,0.0011611635454193588,1.3648482193365632,6.335391829006044e-05,1.0003107605247996,0.203656207366985,0.0004911323328785812,0.00032742155525238747,0.001607717041800643,3.273490532332976,0.00022739940702303603,1.0011183827519317
62,"frozenset({'total_children_(4.0, 5.0]'})",frozenset({'product_id_Carrington Chicken TV Dinner'}),0.10494779956003354,0.0006745342067842341,0.00012153769491607823,0.0011580775911986104,1.7168552455176662,5.0746814186100204e-05,1.0004841040144252,0.09478854024556617,0.0007094133697135061,0.00016371077762619373,0.0017271157167530226,2.4345688853460876,9.646651988036235e-05,1.0010194630777436
76,"frozenset({'total_children_(4.0, 5.0]'})",frozenset({'product_id_Red Wing Toilet Paper'}),0.10494779956003354,0.000613765359326195,0.00012153769491607823,0.0011580775911986104,1.8868409133907023,5.712437100862075e-05,1.000544943318518,0.09478854024556617,0.0005457025920873125,0.00010914051841746248,0.0011514104778353482,2.1099597006332753,5.741416630528449e-05,1.0006064061080948
74,"frozenset({'total_children_(4.0, 5.0]'})",frozenset({'product_id_Nationeel Salted Pretzels'}),0.10494779956003354,0.0006623804372926263,0.00012153769491607823,0.0011580775911986104,1.7483571766280819,5.202232555060431e-05,1.000496271875244,0.09478854024556617,0.0008185538881309686,0.00010914051841746248,0.0011514104778353482,1.4066398004221838,3.15509902491955e-05,1.0003332402860614
91,"frozenset({'total_children_(4.0, 5.0]'})",frozenset({'product_id_Nationeel Apple Fruit Roll'}),0.10494779956003354,0.0007109955152590576,0.00012153769491607823,0.0011580775911986104,1.6288113867731704,4.692028009258788e-05,1.0004476004319696,0.09478854024556617,0.0003819918144611187,0.00010914051841746248,0.0011514104778353482,3.014228143761822,7.293207193893789e-05,1.0007703056013149
98,"frozenset({'total_children_(4.0, 5.0]'})",frozenset({'product_id_Mighty Good Monthly Fashion Magazine'}),0.10494779956003354,0.0007109955152590576,0.00012153769491607823,0.0011580775911986104,1.6288113867731704,4.692028009258788e-05,1.0004476004319696,0.09478854024556617,0.0006548431105047749,0.00010914051841746248,0.0011514104778353482,1.7582997505277296,4.7068895882848894e-05,1.0004971397792815
61,"frozenset({'total_children_(1.0, 2.0]'})",frozenset({'product_id_Hermanos Peaches'}),0.20468163200816733,0.0007474568237338811,0.00023699850508635253,0.001157888486431922,1.5491041752054002,8.400782254886069e-05,1.0004109074477008,0.21227830832196454,0.0008731241473396999,0.00032742155525238747,0.0015424164524421595,1.7665488431876608,0.00014207623830005827,1.0006703262273038
126,"frozenset({'num_children_at_home_(1.0, 2.0]'})",frozenset({'product_id_Horatio Cheese Crackers'}),0.09504247742437318,0.0006745342067842341,0.0001093839254244704,0.0011508951406649615,1.7062072302481508,4.527452330421237e-05,1.0004769098070603,0.09506139154160982,0.0003819918144611187,0.00010914051841746248,0.001148105625717566,3.0055765130391996,7.28278449772841e-05,1.000766994401844
63,"frozenset({'num_children_at_home_(1.0, 2.0]'})",frozenset({'product_id_Tell Tale Baby Onion'}),0.09504247742437318,0.0007474568237338811,0.0001093839254244704,0.0011508951406649615,1.5397479882727214,3.8343777129049326e-05,1.0004039031671235,0.09506139154160982,0.0004911323328785812,0.00010914051841746248,0.001148105625717566,2.3376706212527107,6.245279542294743e-05,1.0006577284345548
37,frozenset({'occupation_Management'}),frozenset({'product_id_Carrington Frozen Carrots'}),0.14359678654334643,0.0006502266678010185,0.0001640758881367056,0.0011426153195090987,1.7572569322222267,7.070542811569132e-05,1.0004929519061079,0.14319236016371079,0.0006002728512960436,0.00016371077762619373,0.0011432926829268292,1.9046216740576496,7.775629130691305e-05,1.0005436413728344
79,frozenset({'state_province_OR'}),frozenset({'product_id_Denny 75 Watt Lightbulb'}),0.11737502886520254,0.0006745342067842341,0.00013369146440768604,0.0011390111312451464,1.6885891327517009,5.451799241582006e-05,1.0004650065721228,0.12141882673942701,0.0006002728512960436,0.00016371077762619373,0.0013483146067415732,2.246169560776303,9.082635229829758e-05,1.000749051712811
86,frozenset({'yearly_income_$10K - $30K'}),frozenset({'product_id_Great Pumpernickel Bread'}),0.21585702305570073,0.0008143025559377241,0.00024307538983215645,0.00112609442301737,1.3828943736036745,6.730246424079111e-05,1.0003121433699877,0.21598908594815824,0.0008731241473396999,0.00021828103683492497,0.001010611419909045,1.1574658918645782,2.9695750331758144e-05,1.0001376263593396
99,"frozenset({'num_cars_owned_(3.0, 4.0]'})",frozenset({'product_id_Great Wheat Bread'}),0.13008179486867852,0.0007596105932254889,0.00014584523389929386,0.0011211809772960853,1.4759943940951137,4.7033724531260625e-05,1.0003619762249283,0.1330968622100955,0.0005457025920873125,0.00016371077762619373,0.0012300123001230013,2.2539975399753995,9.107947491945675e-05,1.0006851524539815
85,frozenset({'education_Partial High School'}),frozenset({'product_id_Great Pumpernickel Bread'}),0.3055093037105458,0.0008143025559377241,0.000340305545765019,0.0011138958507379562,1.3679139806398253,9.152853889076714e-05,1.0002999273826674,0.2941882673942701,0.0008731241473396999,0.00032742155525238747,0.0011129660545353367,1.2746939343350028,7.055867512642175e-05,1.0002401091405184
7,frozenset({'yearly_income_$50K - $70K'}),frozenset({'product_id_Atomic White Chocolate Bar'}),0.1702864643469172,0.0007474568237338811,0.00018838342711992125,0.00110627364213832,1.4800502276666476,6.110164735430174e-05,1.0003592142076143,0.16130968622100955,0.0006002728512960436,0.00016371077762619373,0.0010148849797023004,1.6907061139131505,6.68809523366382e-05,1.0004150333395085
94,frozenset({'education_Partial College'}),frozenset({'product_id_Horatio Frosted Cookies'}),0.09341387231249772,0.000753533708479685,0.00010330704067866648,0.0011059068436117616,1.4676275675085828,3.291653905158231e-05,1.000352763258434,0.09271487039563438,0.0008731241473396999,0.00016371077762619373,0.0017657445556209536,2.0223293113596235,8.275918546629469e-05,1.0008941993358902
14,frozenset({'education_Partial College'}),frozenset({'product_id_Cormorant C-Size Batteries'}),0.09341387231249772,0.0006927648610216458,0.00010330704067866648,0.0011059068436117616,1.5963668278163534,3.859319240860523e-05,1.0004135993849805,0.09271487039563438,0.00043656207366984994,0.00010914051841746248,0.0011771630370806356,2.696439081812831,6.866472233751296e-05,1.00074147379896
123,frozenset({'education_Partial College'}),frozenset({'product_id_CDR Creamy Peanut Butter'}),0.09341387231249772,0.0006988417457674498,0.00010330704067866648,0.0011059068436117616,1.5824853771396892,3.802552707290293e-05,1.0004075157723258,0.09271487039563438,0.0007094133697135061,0.00010914051841746248,0.0011771630370806356,1.6593471272694345,4.336734978754452e-05,1.0004683009339168
