sno,sna,tot,sarea,lat,lng,ar,sareaen,snaen,aren
0116,福林公園,34,士林區,25.096122,121.530215,志成街/中正路(南側)(鄰近志成公園/福林公園),Shilin Dist.,Fulin Park,Zhicheng St. & Zhongzheng Rd.
0117,捷運北投站,58,北投區,25.132581,121.498618,光明路2巷/光明路交叉口(鄰近北投親子館),Beitou Dist.,MRT Beitou Sta.,"Ln. 2, Guangming Rd. & Guangming Rd.  Intersection"
0118,大業大同街口,36,北投區,25.136929,121.499152,大業路/大同街口,Beitou Dist.,Daye & Datong Intersection,Daye Rd. & Datong St.  Intersection
0119,捷運劍南路站(2號出口),68,中山區,25.08418,121.555116,敬業二路/植福路(東北側)(鄰近美麗華百樂園/劍潭古寺),Zhongshan Dist.,MRT Jiannan Rd. Sta.(Exit 2),Jingye 2nd Rd. & Zhifu Rd.
0120,捷運龍山寺站(1號出口),46,萬華區,25.035479,121.50026,和平西路三段/和平西路三段109巷(西北側)(鄰近艋舺龍山寺/艋舺夜市(萬華夜市)),Wanhua Dist.,MRT Longshan Temple Sta. (Exit. 1),"Sec. 3, Heping W. Rd. & Ln. 109, Sec. 3, Heping W. Rd."
0121,龍江南京路口,44,中山區,25.05298,121.540568,龍江路110號對面停車場,Zhongshan Dist.,Longjiang & Nanjing Intersection,"No.100, Longjiang Rd."
0122,捷運港墘站(2號出口),32,內湖區,25.079666,121.57584,內湖路一段/港墘路(東南側),Neihu Dist.,MRT Gangqian Sta. (Exit 2),"Sec. 1, Neihu Rd./Gangqian Rd. (southeast)"
0123,天母運動公園,44,士林區,25.116325,121.534136,忠誠路二段/忠誠路二段207巷(東南側),Shilin Dist.,Tienmu Sports Park,"Sec.2,Zhongcheng Rd./Ln.207,Sec.2,Zhongcheng Rd."
0124,振華公園,36,北投區,25.115863,121.518163,振華街36號對面,Beitou Dist.,Zenhua Park,"No.36, Zhenhua St."
0125,華西公園,30,萬華區,25.038609,121.498495,華西街/桂林路(東北側)(鄰近艋舺龍山寺/華西街夜市/艋舺青山宮/艋舺夜市(萬華夜市)),Wanhua Dist.,Huaxi Park,Huaxi St. & Guilin Rd.
0126,敦化基隆路口,30,大安區,25.022073,121.548336,敦化南路二段/基隆路二段交叉口,Daan Dist.,Dunhua & Keelung Intersection,"Sec. 2, Dunhua S. Rd. & Sec. 2, Keelung Rd."
0127,東湖國中,38,內湖區,25.073277,121.619521,康樂街/康樂街125巷(東南側),Neihu Dist.,Donghu Junior High School,"Kangle St./Ln. 125, Kangle St."
0128,成功國宅,24,大安區,25.026808,121.546726,四維路198巷/和平東路三段1巷,Daan Dist.,Chengong Public Housing,"Ln. 198, Siwei Rd./Ln. 1, Sec. 3, Heping E. Rd"
0129,捷運文德站(2號出口),34,內湖區,25.078424,121.58456,文德路220巷/文德路(西南側),Neihu Dist.,MRT Wende Sta. (Exit 2),"Ln. 220, Wende Rd./Wende Rd."
